simulator,topology,status,rho_target,mean_utilization,max_utilization,stall_ratio,slowdown,avg_latency_ns,md1_stall_ratio,md1_slowdown,stall_ratio_vs_md1
booksim2,fattree,ok,0.05,,,0.08191853405453148,1.0819185340545314,486.86334032453914,0.001315789473684211,1.0013157894736842,62.258085881443904
booksim2,fattree,ok,0.1,,,0.0892096257865108,1.0892096257865107,490.1443316039298,0.005555555555555557,1.0055555555555555,16.057732641571942
booksim2,fattree,ok,0.2,,,0.10182691246274439,1.1018269124627444,495.822110608235,0.025000000000000005,1.025,4.073076498509775
booksim2,fattree,ok,0.3,,,0.1250137984324981,1.1250137984324982,506.25620929462417,0.0642857142857143,1.0642857142857143,1.944659086727748
booksim2,fattree,ok,0.4,,,0.1641958273540127,1.1641958273540127,523.8881223093057,0.13333333333333336,1.1333333333333333,1.231468705155095
booksim2,fattree,ok,0.5,,,0.23832100673363515,1.2383210067336352,557.2444530301359,0.25,1.25,0.9532840269345406
booksim2,fattree,ok,0.6,,,0.38400485704823933,1.3840048570482393,622.8021856717077,0.44999999999999996,1.45,0.8533441267738653
booksim2,fattree,ok,0.7,,,0.7888563859145602,1.78885638591456,804.985373661552,0.8166666666666664,1.8166666666666664,0.965946594997421
booksim2,fattree,ok,0.8,,,27.2942929683188,28.2942929683188,12732.43183574346,1.6000000000000008,2.6000000000000005,17.05893310519924
md1_theory,fattree,theory,0.05,0.05,0.05,0.001315789473684211,1.0013157894736842,,,,
md1_theory,fattree,theory,0.1,0.1,0.1,0.005555555555555557,1.0055555555555555,,,,
md1_theory,fattree,theory,0.2,0.2,0.2,0.025000000000000005,1.025,,,,
md1_theory,fattree,theory,0.3,0.3,0.3,0.0642857142857143,1.0642857142857143,,,,
md1_theory,fattree,theory,0.4,0.4,0.4,0.13333333333333336,1.1333333333333333,,,,
md1_theory,fattree,theory,0.5,0.5,0.5,0.25,1.25,,,,
md1_theory,fattree,theory,0.6,0.6,0.6,0.44999999999999996,1.45,,,,
md1_theory,fattree,theory,0.7,0.7,0.7,0.8166666666666664,1.8166666666666664,,,,
md1_theory,fattree,theory,0.8,0.8,0.8,1.6000000000000008,2.6000000000000005,,,,
raps,fattree,ok,0.05,0.02440476190476189,0.05,0.001315789473684211,1.0013157894736842,450.59210526315786,0.001315789473684211,1.0013157894736842,1.0
raps,fattree,ok,0.1,0.04880952380952378,0.1,0.005555555555555557,1.0055555555555555,452.5,0.005555555555555557,1.0055555555555555,1.0
raps,fattree,ok,0.2,0.09761904761904756,0.2,0.025000000000000005,1.025,461.24999999999994,0.025000000000000005,1.025,1.0
raps,fattree,ok,0.3,0.14642857142857132,0.3,0.0642857142857143,1.0642857142857143,478.92857142857144,0.0642857142857143,1.0642857142857143,1.0
raps,fattree,ok,0.4,0.19523809523809513,0.4,0.13333333333333336,1.1333333333333333,510.0,0.13333333333333336,1.1333333333333333,1.0
raps,fattree,ok,0.5,0.24404761904761887,0.5,0.25,1.25,562.5,0.25,1.25,1.0
raps,fattree,ok,0.6,0.29285714285714265,0.6,0.44999999999999996,1.45,652.5,0.44999999999999996,1.45,1.0
raps,fattree,ok,0.7,0.3416666666666664,0.7,0.8166666666666664,1.8166666666666664,817.4999999999999,0.8166666666666664,1.8166666666666664,1.0
raps,fattree,ok,0.8,0.39047619047619025,0.8,1.6000000000000008,2.6000000000000005,1170.0000000000002,1.6000000000000008,2.6000000000000005,1.0
simgrid,fattree,ok,0.05,0.0780952380952381,0.16000000000000017,0.0,1.0,450.0,0.001315789473684211,1.0013157894736842,0.0
simgrid,fattree,ok,0.1,0.1561904761904762,0.32000000000000034,0.0,1.0,450.0,0.005555555555555557,1.0055555555555555,0.0
simgrid,fattree,ok,0.2,0.3123809523809524,0.6400000000000007,0.0,1.0,450.0,0.025000000000000005,1.025,0.0
simgrid,fattree,ok,0.3,0.46857142857142864,0.960000000000001,0.0,1.0,450.0,0.0642857142857143,1.0642857142857143,0.0
simgrid,fattree,ok,0.4,0.6247619047619049,1.0,0.28000000000000136,1.2800000000000014,576.0000000000006,0.13333333333333336,1.1333333333333333,2.10000000000001
simgrid,fattree,ok,0.5,0.7809523809523811,1.0,0.6000000000000016,1.6000000000000016,720.0000000000008,0.25,1.25,2.4000000000000066
simgrid,fattree,ok,0.6,0.9371428571428573,1.0,0.9200000000000019,1.920000000000002,864.0000000000009,0.44999999999999996,1.45,2.0444444444444487
simgrid,fattree,ok,0.7,1.0,1.0,1.240000000000002,2.240000000000002,1008.0000000000009,0.8166666666666664,1.8166666666666664,1.5183673469387784
simgrid,fattree,ok,0.8,1.0,1.0,1.5600000000000027,2.5600000000000027,1152.0000000000011,1.6000000000000008,2.6000000000000005,0.9750000000000012
