simulator,topology,status,rho_target,mean_utilization,max_utilization,stall_ratio,slowdown,avg_latency_ns,md1_stall_ratio,md1_slowdown,stall_ratio_vs_md1
booksim2,torus3d,ok,0.05,,,0.03341513748675331,1.0334151374867533,1291.7689218584417,0.001315789473684211,1.0013157894736842,25.395504489932506
booksim2,torus3d,ok,0.1,,,0.06910591778682586,1.0691059177868258,1336.3823972335324,0.005555555555555557,1.0055555555555555,12.439065201628653
booksim2,torus3d,ok,0.2,,,0.15705003067655762,1.1570500306765577,1446.312538345697,0.025000000000000005,1.025,6.282001227062303
booksim2,torus3d,ok,0.3,,,0.274438061241564,1.274438061241564,1593.047576551955,0.0642857142857143,1.0642857142857143,4.269036508202106
booksim2,torus3d,ok,0.4,,,0.4273356015394055,1.4273356015394054,1784.1695019242568,0.13333333333333336,1.1333333333333333,3.2050170115455403
booksim2,torus3d,ok,0.5,,,0.646009258742819,1.646009258742819,2057.5115734285237,0.25,1.25,2.584037034971276
booksim2,torus3d,ok,0.6,,,0.973263985721457,1.9732639857214571,2466.5799821518212,0.44999999999999996,1.45,2.1628088571587933
booksim2,torus3d,ok,0.7,,,1.5171091527692566,2.517109152769257,3146.386440961571,0.8166666666666664,1.8166666666666664,1.8576846768603148
booksim2,torus3d,ok,0.8,,,2.614535110714485,3.6145351107144856,4518.168888393107,1.6000000000000008,2.6000000000000005,1.6340844441965525
md1_theory,torus3d,theory,0.05,0.05,0.05,0.001315789473684211,1.0013157894736842,,,,
md1_theory,torus3d,theory,0.1,0.1,0.1,0.005555555555555557,1.0055555555555555,,,,
md1_theory,torus3d,theory,0.2,0.2,0.2,0.025000000000000005,1.025,,,,
md1_theory,torus3d,theory,0.3,0.3,0.3,0.0642857142857143,1.0642857142857143,,,,
md1_theory,torus3d,theory,0.4,0.4,0.4,0.13333333333333336,1.1333333333333333,,,,
md1_theory,torus3d,theory,0.5,0.5,0.5,0.25,1.25,,,,
md1_theory,torus3d,theory,0.6,0.6,0.6,0.44999999999999996,1.45,,,,
md1_theory,torus3d,theory,0.7,0.7,0.7,0.8166666666666664,1.8166666666666664,,,,
md1_theory,torus3d,theory,0.8,0.8,0.8,1.6000000000000008,2.6000000000000005,,,,
raps,torus3d,ok,0.05,0.039990234374999996,0.05,0.001315789473684211,1.0013157894736842,1251.6447368421052,0.001315789473684211,1.0013157894736842,1.0
raps,torus3d,ok,0.1,0.07998046874999999,0.1,0.005555555555555557,1.0055555555555555,1256.9444444444443,0.005555555555555557,1.0055555555555555,1.0
raps,torus3d,ok,0.2,0.15996093749999998,0.2,0.025000000000000005,1.025,1281.25,0.025000000000000005,1.025,1.0
raps,torus3d,ok,0.3,0.23994140625,0.3,0.0642857142857143,1.0642857142857143,1330.357142857143,0.0642857142857143,1.0642857142857143,1.0
raps,torus3d,ok,0.4,0.31992187499999997,0.4,0.13333333333333336,1.1333333333333333,1416.6666666666667,0.13333333333333336,1.1333333333333333,1.0
raps,torus3d,ok,0.5,0.39990234375,0.5,0.25,1.25,1562.5,0.25,1.25,1.0
raps,torus3d,ok,0.6,0.4798828125,0.6,0.44999999999999996,1.45,1812.5,0.44999999999999996,1.45,1.0
raps,torus3d,ok,0.7,0.5598632812500001,0.7,0.8166666666666664,1.8166666666666664,2270.833333333333,0.8166666666666664,1.8166666666666664,1.0
raps,torus3d,ok,0.8,0.6398437499999999,0.8,1.6000000000000008,2.6000000000000005,3250.0000000000005,1.6000000000000008,2.6000000000000005,1.0
simgrid,torus3d,ok,0.05,0.16011730205278585,0.20019550342130976,0.0,1.0,1250.0,0.001315789473684211,1.0013157894736842,0.0
simgrid,torus3d,ok,0.1,0.3202346041055717,0.4003910068426195,0.0,1.0,1250.0,0.005555555555555557,1.0055555555555555,0.0
simgrid,torus3d,ok,0.2,0.6404692082111434,0.800782013685239,0.0,1.0,1250.0,0.025000000000000005,1.025,0.0
simgrid,torus3d,ok,0.3,0.9607038123167149,1.0,0.20117302052785835,1.2011730205278583,1501.466275659823,0.0642857142857143,1.0642857142857143,3.1293580971000186
simgrid,torus3d,ok,0.4,1.0,1.0,0.6015640273704781,1.601564027370478,2001.9550342130976,0.13333333333333336,1.1333333333333333,4.511730205278585
simgrid,torus3d,ok,0.5,1.0,1.0,1.0019550342130974,2.0019550342130974,2502.4437927663716,0.25,1.25,4.00782013685239
simgrid,torus3d,ok,0.6,1.0,1.0,1.4023460410557167,2.4023460410557167,3002.932551319646,0.44999999999999996,1.45,3.1163245356793707
simgrid,torus3d,ok,0.7,1.0,1.0,1.802737047898336,2.802737047898336,3503.42130987292,0.8166666666666664,1.8166666666666664,2.207433119875514
simgrid,torus3d,ok,0.8,1.0,1.0,2.203128054740956,3.203128054740956,4003.9100684261953,1.6000000000000008,2.6000000000000005,1.376955034213097
