matrix,system,use_case,variant,latency,throughput,congestion,max_link_util,algorithm,topology,topology_params,inferred_pattern,total_traffic_gb,strategy,communication_cost,cost_reduction,num_physical_nodes,scheduler,makespan,energy_kwh,avg_power_kw,utilization,jobs_completed,avg_queue_length,total_nodes,scenario,compute_power_mw,total_power_mw,pue,active_nodes,power_per_node_kw
comd_correct_n8_20260120_231003,lassen,adaptive_routing,minimal,3.751532231424,10.558896797315404,0.04209228650666667,0.18383579648,minimal,fat-tree,k=4,sparse-random,0.75420492,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,lassen,adaptive_routing,ecmp,3.751532231424,10.558896797315404,0.04209228650666667,0.18383579648,ecmp,fat-tree,k=4,sparse-random,0.75420492,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,lassen,node_placement,contiguous,,,,,,fat-tree,,,,contiguous,1508409840.0,0.0,4608.0,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,lassen,node_placement,random,,,,,,fat-tree,,,,random,1508409840.0,0.0,4608.0,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,lassen,node_placement,locality,,,,,,fat-tree,,,,locality,1508409840.0,0.0,4608.0,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,lassen,node_placement,spectral,,,,,,fat-tree,,,,spectral,1508409840.0,0.0,4608.0,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,lassen,scheduling,fcfs,,,,,,,,,,,,,,fcfs,3000.0,1410.192,1692.2304,75.0,30.0,5.0,4608.0,,,,,,
comd_correct_n8_20260120_231003,lassen,scheduling,backfill,,,,,,,,,,,,,,backfill,2700.0,1180.330704,1573.774272,76.0,30.0,4.5,4608.0,,,,,,
comd_correct_n8_20260120_231003,lassen,scheduling,multitenant,,,,,,,,,,,,,,multitenant,2760.0,1232.5078079999998,1607.6188799999998,75.8,30.0,4.6000000000000005,4608.0,,,,,,
comd_correct_n8_20260120_231003,lassen,power,baseline,,,,,,,,,,,,,,,,,,0.7,,,4608.0,baseline,3.613854375,4.6980106875,1.3,3225.0,1.120575
comd_correct_n8_20260120_231003,lassen,power,power_cap,,,,,,,,,,,,,,,,,,0.7,,,4608.0,power_cap,3.613854375,4.6980106875,1.3,3225.0,1.120575
