experiment,app,data_type,num_ranks,system,use_case,data_structure,algorithm,latency,throughput,congestion,max_link_util,total_traffic_gb,strategy,communication_cost,cost_reduction,num_edges,scheduler,makespan,energy_kwh,avg_power_kw,utilization,burstiness,num_time_bins,scenario,compute_power_mw,total_power_mw,peak_power_mw,power_variance,power_efficiency,pattern
comd_correct_n8_20260120_231003,comd,real,8,lassen,adaptive_routing,static_matrix,minimal,3.647323002773333,10.558896797315404,0.04209228650666667,0.18383579648,0.75420492,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,lassen,adaptive_routing,static_matrix,ecmp,4.1683691460266665,10.558896797315404,0.04209228650666667,0.18383579648,0.75420492,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,lassen,node_placement,affinity_graph,,,,,,,contiguous,1508409840.0,0.0,12.0,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,lassen,node_placement,affinity_graph,,,,,,,random,1508409840.0,0.0,12.0,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,lassen,node_placement,affinity_graph,,,,,,,locality,1508409840.0,0.0,12.0,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,lassen,node_placement,affinity_graph,,,,,,,spectral,1508409840.0,0.0,12.0,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,lassen,scheduling,dynamic_matrix,,,,,,,,,,,fcfs,3008.4065609118543,2424.6312845800303,2901.4271999999996,70.0,1.02802186970618,49.0,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,lassen,scheduling,dynamic_matrix,,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,1.02802186970618,49.0,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,lassen,scheduling,dynamic_matrix,,,,,,,,,,,sjf,2488.3186878176293,1804.9188807755945,2611.28448,82.0,1.02802186970618,49.0,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,baseline,3.770467139722876,4.901607281639739,4.90732125,0.00014100375580400446,0.8182437369190269,
comd_correct_n8_20260120_231003,comd,real,8,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,power_cap,3.7390962117783006,4.860825075311791,4.86539625,9.024240371456279e-05,0.8114358098477216,
comd_correct_n8_20260120_231003,comd,real,8,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,frequency_scaling,3.752769334339476,4.878600134641318,4.90732125,0.0018382238687545092,0.8144030673479765,
comd_correct_n8_20260120_231003,comd,real,8,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,job_packing,3.557150281220269,4.62429536558635,4.62905612,9.788284317418272e-05,0.7719510158898153,
comd_correct_n8_20260120_231003,comd,real,8,frontier,adaptive_routing,static_matrix,minimal,3.5257837392902567,22.89549428605948,0.007366782654358975,0.09191789824,0.75420492,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,adaptive_routing,static_matrix,ugal,4.029467130617436,22.89549428605948,0.007366782654358975,0.09191789824,0.75420492,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,adaptive_routing,static_matrix,valiant,5.036833913271796,22.89549428605948,0.007366782654358975,0.09191789824,0.75420492,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,node_placement,affinity_graph,,,,,,,contiguous,754204920.0,0.0,12.0,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,node_placement,affinity_graph,,,,,,,random,754204920.0,0.0,12.0,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,node_placement,affinity_graph,,,,,,,locality,754204920.0,0.0,12.0,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,node_placement,affinity_graph,,,,,,,spectral,754204920.0,0.0,12.0,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,scheduling,dynamic_matrix,,,,,,,,,,,fcfs,3008.4065609118543,8205.949014954724,9819.622399999998,70.0,1.02802186970618,49.0,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,scheduling,dynamic_matrix,,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,1.02802186970618,49.0,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,scheduling,dynamic_matrix,,,,,,,,,,,sjf,2488.3186878176293,6108.587481308149,8837.66016,82.0,1.02802186970618,49.0,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,baseline,12.896921957011681,15.476306348414017,15.4871496,0.0005959341860225731,1.3615838214750509,
comd_correct_n8_20260120_231003,comd,real,8,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,power_cap,12.832429165609344,15.398914998731213,15.4075896,0.0003813978790544528,1.3547750385989596,
comd_correct_n8_20260120_231003,comd,real,8,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,frequency_scaling,12.830152524329442,15.396183029195331,15.4871496,0.020371457203518222,1.354534683734105,
