matrix,pattern,num_ranks,system,use_case,algorithm,latency,throughput,congestion,max_link_util,total_traffic_gb,strategy,communication_cost,cost_reduction,scheduler,makespan,energy_kwh,avg_power_kw,utilization,jobs_completed,scenario,compute_power_mw,total_power_mw,power_efficiency
all-to-all_n256,all-to-all,256,lassen,adaptive_routing,minimal,4.733771851851852,1.25,0.18344296296296295,10.1376,65.28,,,,,,,,,,,,,
all-to-all_n256,all-to-all,256,lassen,adaptive_routing,ecmp,4.733771851851852,1.25,0.18344296296296295,10.1376,65.28,,,,,,,,,,,,,
all-to-all_n256,all-to-all,256,lassen,node_placement,,,,,,,contiguous,130560000000.0,0.0,,,,,,,,,,
all-to-all_n256,all-to-all,256,lassen,node_placement,,,,,,,random,130560000000.0,0.0,,,,,,,,,,
all-to-all_n256,all-to-all,256,lassen,node_placement,,,,,,,locality,130560000000.0,0.0,,,,,,,,,,
all-to-all_n256,all-to-all,256,lassen,node_placement,,,,,,,spectral,130560000000.0,0.0,,,,,,,,,,
all-to-all_n256,all-to-all,256,lassen,scheduling,,,,,,,,,,fcfs,3000.0,2417.8559999999998,2901.4271999999996,70.0,30.0,,,,
all-to-all_n256,all-to-all,256,lassen,scheduling,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,30.0,,,,
all-to-all_n256,all-to-all,256,lassen,scheduling,,,,,,,,,,sjf,2550.0,1849.6598399999998,2611.28448,82.0,30.0,,,,
all-to-all_n256,all-to-all,256,lassen,power,,,,,,,,,,,,,,,,baseline,3.6136125,4.69769625,0.7842041015625
all-to-all_n256,all-to-all,256,lassen,power,,,,,,,,,,,,,,,,power_cap,3.6136125,4.69769625,0.7842041015625
all-to-all_n256,all-to-all,256,lassen,power,,,,,,,,,,,,,,,,frequency_scaling,3.389104125,4.4058353624999995,0.735482666015625
all-to-all_n256,all-to-all,256,lassen,power,,,,,,,,,,,,,,,,job_packing,3.4264623999999997,4.45440112,0.7435899305555554
all-to-all_n256,all-to-all,256,frontier,adaptive_routing,minimal,4.7628329411764705,14.39031129121385,0.3608094117647059,0.73728,65.28,,,,,,,,,,,,,
