experiment,data_type,system,use_case,algorithm,latency_us,throughput_gbps,congestion,slowdown_factor,avg_hops,strategy,communication_cost,cost_reduction,scheduler,makespan,avg_wait_time,utilization,jobs_completed,energy_kwh,avg_power_kw,co2_kg,pflops,rl_reward,scenario,compute_power_mw,total_power_mw,peak_power_mw,avg_pflops,efficiency_gflops_w,rpeak_pflops,pattern,num_ranks
comd_correct_n8_20260120_231003,real,lassen,routing,minimal,2514.7664,12.5,0.00075420492,1.0,3.5,,,,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,lassen,routing,ecmp,2515.0164,12.5,0.00075420492,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,lassen,placement,,,,,,,contiguous,1508409840.0,0.0,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,lassen,placement,,,,,,,random,1508409840.0,0.0,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,lassen,placement,,,,,,,locality,1508409840.0,0.0,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,lassen,placement,,,,,,,spectral,1508409840.0,0.0,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,lassen,scheduling,,,,,,,,,,fcfs,5700.0,0.0,0.045306408382066274,10.0,1.610581432240903,1.0172093256258337,0.6442325728963613,2.0627101608187136e-05,,,,,,,,,,
comd_correct_n8_20260120_231003,real,lassen,scheduling,,,,,,,,,,backfill,5700.0,0.0,0.045306408382066274,10.0,1.610581432240903,1.0172093256258337,0.6442325728963613,2.0627101608187136e-05,,,,,,,,,,
comd_correct_n8_20260120_231003,real,lassen,scheduling,,,,,,,,,,sjf,5700.0,0.0,0.045306408382066274,10.0,1.610581432240903,1.0172093256258337,0.6442325728963613,2.0627101608187136e-05,,,,,,,,,,
comd_correct_n8_20260120_231003,real,lassen,scheduling,,,,,,,,,,rl,4700.0,17.5,0.0,8.0,0.0,0.0,0.0,0.0,-52.80999999999727,,,,,,,,,
comd_correct_n8_20260120_231003,real,lassen,power,,,,,,,,,,,,,,,333.9379785245379,,133575.1914098152,,,baseline,2.453421883037422,3.1894484479486485,3.264698210526316,58.4120735907692,23808.40979475287,157.5936,,
comd_correct_n8_20260120_231003,real,lassen,power,,,,,,,,,,,,,,,330.4385179009746,,132175.40716038985,,,power_cap,2.427711560088793,3.1560250281154314,3.2233346052631577,58.37632997106014,24045.826090198716,157.5936,,
comd_correct_n8_20260120_231003,real,lassen,power,,,,,,,,,,,,,,,333.0792108846234,,133231.68435384938,,,frequency_scaling,2.4471125697645806,3.181246340693955,3.264698210526316,58.03593942865274,23716.088971843237,157.5936,,
comd_correct_n8_20260120_231003,real,lassen,power,,,,,,,,,,,,,,,289.55585998906236,,115822.34399562495,,,job_packing,2.1273491754298464,2.7655539280588,2.827013184210527,57.09324586702795,26837.740849708818,157.5936,,
comd_correct_n8_20260120_231003,real,frontier,routing,minimal,1257.6832,25.0,0.00037710246,1.0,3.5,,,,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,frontier,routing,ugal,1257.9081999999999,25.0,0.00037710246,1.0,4.2,,,,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,frontier,routing,valiant,1258.1332,25.0,0.00037710246,1.0,5.5,,,,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,frontier,placement,,,,,,,contiguous,1508409840.0,0.0,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,frontier,placement,,,,,,,random,1508409840.0,0.0,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,frontier,placement,,,,,,,locality,1508409840.0,0.0,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,frontier,placement,,,,,,,spectral,1508409840.0,0.0,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,real,frontier,scheduling,,,,,,,,,,fcfs,5700.0,0.0,0.022040955429113322,10.0,2.126130671063351,1.3428193711979057,0.7441457348721728,3.491948568634424e-05,,,,,,,,,,
comd_correct_n8_20260120_231003,real,frontier,scheduling,,,,,,,,,,backfill,5700.0,0.0,0.022040955429113322,10.0,2.126130671063351,1.3428193711979057,0.7441457348721728,3.491948568634424e-05,,,,,,,,,,
comd_correct_n8_20260120_231003,real,frontier,scheduling,,,,,,,,,,sjf,5700.0,0.0,0.022040955429113322,10.0,2.126130671063351,1.3428193711979057,0.7441457348721728,3.491948568634424e-05,,,,,,,,,,
comd_correct_n8_20260120_231003,real,frontier,scheduling,,,,,,,,,,rl,5200.0,20.0,0.0,9.0,0.0,0.0,0.0,0.0,-46.80999999999725,,,,,,,,,
comd_correct_n8_20260120_231003,real,frontier,power,,,,,,,,,,,,,,,962.4299881090761,,336850.49583817663,,,baseline,7.070914198352397,8.485097038022875,8.689348187234044,418.3671692097196,59167.337839738444,1018.24,,
comd_correct_n8_20260120_231003,real,frontier,power,,,,,,,,,,,,,,,955.6914948636593,,334492.02320228075,,,power_cap,7.02140690103913,8.425688281246956,8.615830314893618,418.3243063128352,59578.41672029083,1018.24,,
comd_correct_n8_20260120_231003,real,frontier,power,,,,,,,,,,,,,,,959.7382061851074,,335908.3721647876,,,frequency_scaling,7.051137841359973,8.461365409631968,8.689348187234044,415.67319384429084,58951.22222771903,1018.24,,
comd_correct_n8_20260120_231003,real,frontier,power,,,,,,,,,,,,,,,841.7500793252677,,294612.52776384365,,,job_packing,6.184286297083601,7.42114355650032,7.594524434042554,409.0174814243515,66138.1866517462,1018.24,,
