system,topology,app_type,workload,num_nodes,avg_degree,sparsity,total_traffic_bytes,routing_algorithm,allocation_strategy,max_link_util,avg_link_util,link_util_std,total_power_kw,congestion_factor,job_slowdown,avg_slowdown,max_slowdown,timestamp
lassen,fat-tree,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,minimal,contiguous,12.33713907393423,0.03212796633837038,0.39217180792973844,361.47974075060984,12.33713907393423,12.33713907393423,12.33713907393423,12.33713907393423,2026-01-29T04:46:29.297405
lassen,fat-tree,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,minimal,random,61.68569536967108,0.04960382302828473,0.8521668543030269,361.83764629561927,61.68569536967108,61.68569536967108,61.68569536967108,61.68569536967108,2026-01-29T04:46:29.451269
lassen,fat-tree,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,minimal,contiguous,0.002378131739297849,8.050549878840077e-06,8.130596014815442e-05,727.281692326699,1.0,1.0,1.0,1.0,2026-01-29T04:46:29.540224
lassen,fat-tree,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,minimal,random,0.01228772557576155,1.1454921381337926e-05,0.00016225280752062924,727.2818328591545,1.0,1.0,1.0,1.0,2026-01-29T04:46:29.663647
lassen,fat-tree,hpgmg,hpgmg_n128_fv_20260121_215033,127,19.212598425196852,0.8475190601174853,1057253824,minimal,contiguous,5.231517824559499,0.013905275998666549,0.18694425543041832,716.5707904165859,5.231517824559499,5.231517824559499,5.231517824559499,5.231517824559499,2026-01-29T04:46:29.988412
lassen,fat-tree,hpgmg,hpgmg_n128_fv_20260121_215033,127,19.212598425196852,0.8475190601174853,1057253824,minimal,random,35.0799512378231,0.020087950157072206,0.4611998236249128,716.8220542943834,35.0799512378231,35.0799512378231,35.0799512378231,35.0799512378231,2026-01-29T04:46:31.013450
lassen,fat-tree,lulesh,lulesh_n64_cube_20260121_214715,64,14.625,0.7678571428571428,82191168,minimal,contiguous,0.6686206291382962,0.0010066309927619116,0.01792689113177255,360.8423758027318,1.0,1.0,1.0,1.0,2026-01-29T04:46:31.131157
lassen,fat-tree,lulesh,lulesh_n64_cube_20260121_214715,64,14.625,0.7678571428571428,82191168,minimal,random,3.498069906090689,0.0014105445125912714,0.03592289885577806,360.8506479516179,3.498069906090689,3.498069906090689,3.498069906090689,3.498069906090689,2026-01-29T04:46:31.409432
frontier,dragonfly,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,minimal,contiguous,1.1566067881813336,0.0032592666465713557,0.05869349437133162,542.0042448979591,1.1566067881813336,1.1566067881813336,1.1566067881813336,1.1566067881813336,2026-01-29T04:46:31.833189
frontier,dragonfly,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,minimal,random,3.4698203645440007,0.004021565828069246,0.06462396791617828,542.0042448979591,3.4698203645440007,3.4698203645440007,3.4698203645440007,3.4698203645440007,2026-01-29T04:46:32.253306
frontier,dragonfly,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,minimal,contiguous,0.00014516423543290265,7.686649351838229e-07,9.261300200930112e-06,1092.4773061224487,1.0,1.0,1.0,1.0,2026-01-29T04:46:32.674719
frontier,dragonfly,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,minimal,random,0.00042054932912179155,9.085736028965507e-07,1.0625710529472257e-05,1092.4773061224487,1.0,1.0,1.0,1.0,2026-01-29T04:46:33.135816
frontier,dragonfly,hpgmg,hpgmg_n128_fv_20260121_215033,127,19.212598425196852,0.8475190601174853,1057253824,minimal,contiguous,0.5248448302956072,0.0011608417940561346,0.012561214498647536,1075.5396734693875,1.0,1.0,1.0,1.0,2026-01-29T04:46:33.850588
frontier,dragonfly,hpgmg,hpgmg_n128_fv_20260121_215033,127,19.212598425196852,0.8475190601174853,1057253824,minimal,random,0.7110800926585601,0.0014148567430314334,0.014844088191909549,1075.5396734693875,1.0,1.0,1.0,1.0,2026-01-29T04:46:34.673753
frontier,dragonfly,lulesh,lulesh_n64_cube_20260121_214715,64,14.625,0.7678571428571428,82191168,minimal,contiguous,0.02742389299200001,8.555924106435696e-05,0.001332058962938891,542.0042448979591,1.0,1.0,1.0,1.0,2026-01-29T04:46:35.119231
frontier,dragonfly,lulesh,lulesh_n64_cube_20260121_214715,64,14.625,0.7678571428571428,82191168,minimal,random,0.08227167897600003,0.00010553672010823972,0.0016069528443737934,542.0042448979591,1.0,1.0,1.0,1.0,2026-01-29T04:46:35.643660
